Postleitzahl;Name;Landkreis
32049;Herford;Landkreis Herford
32051;Herford;Landkreis Herford
32052;Herford;Landkreis Herford
32105;Bad Salzuflen;Landkreis Lippe
32107;Bad Salzuflen;Landkreis Lippe
32108;Bad Salzuflen;Landkreis Lippe
32120;Hiddenhausen;Landkreis Herford
32130;Enger;Landkreis Herford
32139;Spenge;Landkreis Herford
32257;Bünde;Landkreis Herford
32278;Kirchlengern;Landkreis Herford
32289;Rödinghausen;Landkreis Herford
32312;Lübbecke;Landkreis Minden-Lübbecke
32339;Espelkamp;Landkreis Minden-Lübbecke
32351;Stemwede;Landkreis Minden-Lübbecke
32361;Preußisch Oldendorf;Landkreis Minden-Lübbecke
32369;Rahden;Landkreis Minden-Lübbecke
32423;Minden;Landkreis Minden-Lübbecke
32425;Minden;Landkreis Minden-Lübbecke
32427;Minden;Landkreis Minden-Lübbecke
32429;Minden;Landkreis Minden-Lübbecke
32457;Porta Westfalica;Landkreis Minden-Lübbecke
32469;Petershagen;Landkreis Minden-Lübbecke
32479;Hille;Landkreis Minden-Lübbecke
32545;Bad Oeynhausen;Landkreis Minden-Lübbecke
32547;Bad Oeynhausen;Landkreis Minden-Lübbecke
32549;Bad Oeynhausen;Landkreis Minden-Lübbecke
32584;Löhne;Landkreis Herford
32602;Vlotho;Landkreis Herford
32609;Hüllhorst;Landkreis Minden-Lübbecke
32657;Lemgo;Landkreis Lippe
32676;Lügde;Landkreis Lippe
32683;Barntrup;Landkreis Lippe
32689;Kalletal;Landkreis Lippe
32694;Dörentrup;Landkreis Lippe
32699;Extertal;Landkreis Lippe
32756;Detmold;Landkreis Lippe
32758;Detmold;Landkreis Lippe
32760;Detmold;Landkreis Lippe
32791;Lage;Landkreis Lippe
32805;Horn-Bad Meinberg;Landkreis Lippe
32816;Schieder-Schwalenberg;Landkreis Lippe
32825;Blomberg;Landkreis Lippe
32832;Augustdorf;Landkreis Lippe
32839;Steinheim;Landkreis Höxter
33014;Bad Driburg;Landkreis Höxter
33034;Brakel;Landkreis Höxter
33039;Nieheim;Landkreis Höxter
33098;Paderborn;Landkreis Paderborn
33100;Paderborn;Landkreis Paderborn
33102;Paderborn;Landkreis Paderborn
33104;Paderborn;Landkreis Paderborn
33106;Paderborn;Landkreis Paderborn
33129;Delbrück;Landkreis Paderborn
33142;Büren;Landkreis Paderborn
33154;Salzkotten;Landkreis Paderborn
33161;Hövelhof;Landkreis Paderborn
33165;Lichtenau;Landkreis Paderborn
33175;Bad Lippspringe;Landkreis Paderborn
33178;Borchen;Landkreis Paderborn
