,Id,school_number,school_type,name,short_name,address,zipcode,location,student,tel,email,is_big,community,is_rural
0,0,100000,Weiterbildungskolleg,Studienkolleg des Ökumenischen,"Bochum, WBK KOL Studienkolleg",Girondelle 80,44799,Bochum,0,02349388231,100000@schule.nrw.de,0,"Bochum, Stadt",0
1,0,100010,Gymnasium,Gymnasium Claudia Agrippina Privat,"Köln, Gym Gymnasium Claudia Agrippina",Stolberger Str. 112,50933,Köln,98,022137996433,100010@schule.nrw.de,0,"Köln, Stadt",0
2,0,100011,Gesamtschule,Städt. Gesamtschule,"Haan, GE Walder Straße",Walder Str. 15,42781,Haan,531,021293754950,100011@schule.nrw.de,1,Mettmann,1
3,0,100012,Grundschule,Städt. Gemeinschaftsgrundschule,"Leverkusen, GG Am Friedenspark",Netzestr. 12,51371,Leverkusen,355,0214310830,100012@schule.nrw.de,0,"Leverkusen, Stadt",0
4,0,100014,Grundschule,Kolibri-Schule,"Herne, GG Kolibri-Schule",Jean-Vogel-Str. 36,44625,Herne,436,02323163970,100014@schule.nrw.de,0,"Herne, Stadt",0
5,0,100015,Gymnasium,Städt. Wim-Wenders-Gymnasium,"Düsseldorf, Gym Wim-Wenders",Schmiedestr. 17,40227,Düsseldorf,436,02118924260,100015@schule.nrw.de,0,"Düsseldorf, Stadt",0
6,0,100016,Gesamtschule,Kupferstädter Gesamtschule,"Stolberg, GE Kupferstädter",Breslauer Str. 1,52222,Stolberg (Rhld.),719,024029975610,100016@schule.nrw.de,1,Städteregion Aachen,0
7,0,100017,Grundschule,Städt. Gem. Grundschule,"Hürth, GG Bonnstraße",Bonnstr. 109,50354,Hürth,181,02233974420,100017@schule.nrw.de,0,Rhein-Erft-Kreis,1
8,0,100018,Waldorfschule,Freie Waldorfschule Rudolf Steiner Schu-,"Essen, FW Schellstraße",Schellstr. 47,45134,Essen,624,0201435150,100018@schule.nrw.de,1,"Essen, Stadt",0
9,0,100019,Gesamtschule,Joseph Beuys Gesamtschule,"Kleve, GE Joseph Beuys",Hoffmannallee 15,47533,Kleve,892,0282175040,100019@schule.nrw.de,1,Kleve,1
10,0,100020,Grundschule,Städt. Kath. Grundschule,"Düsseldorf, KG Kartause-Hain-Schule",Unterrather Str. 76,40468,Düsseldorf,180,02114791163,100020@schule.nrw.de,0,"Düsseldorf, Stadt",0
11,0,100021,Gesamtschule,Rupert-Neudeck-Gesamtschule der Stadt,"Tönisvorst, GE Rupert-Neudeck",Corneliusstr. 25,47918,Tönisvorst,791,02151792650,100021@schule.nrw.de,1,Viersen,1
12,0,100022,Gemeinschaftsschule (Schulversuch),Sekundarschule Medebach-Winterberg,"Medebach, SK Medebach-Winterberg",Schützenstr. 12,59964,Medebach,714,02982922930,100022@schule.nrw.de,1,Hochsauerlandkreis,1
13,0,100023,Gesamtschule,Gesamtschule Lengerich/Tecklenburg,"Lengerich, GE Lengerich/Tecklenburg",Margarethenstr. 1,49525,Lengerich,695,05481338510,100023@schule.nrw.de,1,Steinfurt,1
14,0,100024,Gesamtschule,Euregioschule Gesamtschule der Stadt,"Gronau, GE Euregioschule",Gildehauser Damm 49,48599,Gronau (Westf.),692,025654019761,100024@schule.nrw.de,1,Borken,1
15,0,100025,Gesamtschule,Montessori Gesamtschule Sendenhorst,"Sendenhorst, GE Teigelkamp",Teigelkamp 5,48324,Sendenhorst,194,02526937407,100025@schule.nrw.de,0,Warendorf,1
16,0,100026,Grundschule,Schule unter der Iburg,"Bad Driburg, GG Schule unter der Iburg",Jahnstr. 12,33014,Bad Driburg,524,052533894,100026@schule.nrw.de,1,Höxter,1
